feature,mean_abs_shap
ps_3,0.9549714
ps_0,0.5203212
ps_1,0.4860358
ps_max,0.43230888
piat_1,0.41945884
ps_std,0.37878874
ps_mean,0.3517909
ps_5,0.31862813
piat_5,0.2768702
piat_mean,0.2724934
piat_2,0.23452638
dir_std,0.22301929
ps_2,0.19817328
piat_3,0.18429066
piat_max,0.17612787
piat_std,0.17444071
piat_4,0.17334935
ps_8,0.16472228
dir_mean,0.16378854
ps_7,0.13674012
ps_4,0.12030735
ps_6,0.116455115
dir_8,0.115110256
piat_7,0.11043023
dir_max,0.10609441
ps_9,0.10589702
ps_first,0.096829906
piat_8,0.08906462
dir_1,0.08793188
ps_10,0.086776935
piat_6,0.07597735
ps_15,0.0686944
ps_16,0.068303965
ps_14,0.06726719
piat_9,0.06413039
piat_10,0.05737362
ps_17,0.05344897
piat_11,0.05253594
ps_11,0.0497673
dir_4,0.047495928
piat_15,0.04500795
dir_5,0.04102032
ps_12,0.03916674
piat_13,0.03717233
ps_20,0.037090413
piat_17,0.037071604
ps_13,0.036750995
piat_16,0.03583193
piat_14,0.034723483
piat_19,0.034231525
piat_12,0.031191181
piat_18,0.029681342
piat_20,0.028351407
ps_21,0.028233793
dir_3,0.028065277
ps_18,0.025991041
dir_9,0.025366724
dir_10,0.024462732
dir_6,0.024274115
piat_21,0.02289611
dir_14,0.022702942
ps_min,0.022653244
ps_23,0.021265538
piat_24,0.019359486
piat_29,0.019251745
dir_12,0.019219361
ps_19,0.01890559
dir_20,0.018615244
ps_22,0.015053021
dir_13,0.015044685
dir_2,0.014814484
piat_27,0.014552157
piat_23,0.014307322
ps_27,0.013091765
dir_7,0.013066912
ps_24,0.013013131
piat_22,0.01266536
ps_26,0.012384261
piat_45,0.012092514
ps_25,0.012035774
dir_16,0.011868671
piat_25,0.01165383
piat_35,0.011596968
piat_26,0.01137332
dir_15,0.0112501765
ps_28,0.0112388795
dir_17,0.011131475
dir_21,0.011088657
piat_30,0.010663538
ps_34,0.010228931
dir_11,0.009965123
dir_19,0.009869286
piat_28,0.009776635
piat_38,0.008931004
ps_29,0.008586196
piat_39,0.008416231
piat_31,0.008360801
piat_33,0.008072247
piat_37,0.007950748
ps_33,0.007914416
dir_18,0.0070771887
ps_31,0.0070408685
ps_39,0.0067909732
piat_48,0.0067175385
piat_41,0.006694967
dir_28,0.0065333857
dir_31,0.006318912
ps_37,0.006246102
piat_32,0.0061814436
ps_30,0.0060395803
piat_43,0.00598218
piat_34,0.0058584153
dir_33,0.0057203695
dir_25,0.005646453
ps_48,0.00544757
piat_47,0.005334256
dir_29,0.0053208936
ps_32,0.005182356
piat_36,0.0048631984
dir_24,0.0047855447
ps_36,0.004522004
dir_37,0.0045154993
piat_46,0.0045103366
dir_23,0.0044101365
dir_34,0.004399419
ps_42,0.0042638993
dir_36,0.004258989
piat_42,0.004213937
piat_49,0.0040759887
dir_26,0.0040678447
ps_45,0.0038241658
ps_43,0.0033813405
ps_38,0.0033064047
ps_47,0.0033026205
ps_35,0.0031829425
piat_40,0.0031690001
ps_41,0.00310621
dir_22,0.0029885203
ps_40,0.0028106405
ps_49,0.0025361835
ps_46,0.0024148198
dir_35,0.0023754688
dir_43,0.0021116503
dir_32,0.0019861346
ps_44,0.001975811
piat_44,0.0019663326
dir_47,0.0019416659
dir_27,0.0017700524
dir_38,0.0017505126
dir_30,0.0017127062
dir_39,0.0017019472
dir_42,0.0014123707
ps_last,0.0012440375
dir_49,0.0010905677
dir_41,0.0010579561
dir_48,0.001001679
dir_44,0.00066018815
dir_40,0.0006576375
piat_last,0.0005424294
dir_45,0.00047144116
dir_46,0.00045707673
dir_last,0.00012741216
dir_0,0.0
dir_min,0.0
dir_first,0.0
piat_0,0.0
piat_min,0.0
piat_first,0.0
